Grid_Size,Processes,CG_Iterations,Newton_Iterations,Runtime
64,1,1333,301,0.0475523###
90,2,1694,300,0.0589511###
128,4,2225,300,0.0860838###
181,8,3006,300,0.114313###
256,16,4109,300,0.179926###
128,1,2232,300,0.336026###
181,2,3010,300,0.421861###
256,4,4107,300,0.632646###
362,8,5654,300,0.794237###
512,16,7817,301,1.24641###
256,1,4100,300,2.34209###
362,2,5663,300,3.0745###
512,4,7806,300,4.59702###
724,8,10882,304,12.3356###
1024,16,16065,338,26.9678###
